"","fish.model","fish.mean_fun","fish.err_dist","fish.s1","fish.s2","fish.q","fish.p","fish.b","sponges.model","sponges.mean_fun","sponges.err_dist","sponges.s1","sponges.s2","sponges.q","sponges.p","sponges.b","stony.corals.model","stony.corals.mean_fun","stony.corals.err_dist","stony.corals.s1","stony.corals.s2","stony.corals.q","stony.corals.p","stony.corals.b","soft.corals.model","soft.corals.mean_fun","soft.corals.err_dist","soft.corals.s1","soft.corals.s2","soft.corals.q","soft.corals.p","soft.corals.b"
"10","gaussian_negbin","gaussian","negbin",NA,NA,NA,NA,NA,"gaussian_negbin","gaussian","negbin",NA,NA,NA,NA,NA,"gaussian_negbin","gaussian","negbin",NA,NA,NA,NA,NA,"gaussian_negbin","gaussian","negbin",NA,NA,NA,NA,NA
"12","gaussian_zinb","gaussian","zinb",NA,NA,NA,NA,NA,"gaussian_zinb","gaussian","zinb",NA,NA,NA,NA,NA,"gaussian_zinb","gaussian","zinb",NA,NA,NA,NA,NA,"gaussian_zinb","gaussian","zinb",NA,NA,NA,NA,NA
"18","hofV_negbin","hofV","negbin",NA,NA,NA,NA,NA,"hofV_negbin","hofV","negbin",NA,NA,NA,NA,NA,"hofV_negbin","hofV","negbin",NA,NA,NA,NA,NA,"hofV_negbin","hofV","negbin",NA,NA,NA,NA,NA
"16","gaussian_zinbl.mu","gaussian","zinbl.mu",NA,NA,NA,NA,NA,"gaussian_zinbl.mu","gaussian","zinbl.mu",NA,NA,NA,NA,NA,"gaussian_zinbl.mu","gaussian","zinbl.mu",NA,NA,NA,NA,NA,"gaussian_zinbl.mu","gaussian","zinbl.mu",NA,NA,NA,NA,NA
"14","gaussian_zinbl","gaussian","zinbl",NA,NA,NA,NA,NA,"gaussian_zinbl","gaussian","zinbl",NA,NA,NA,NA,NA,"gaussian_zinbl","gaussian","zinbl",NA,NA,NA,NA,NA,"gaussian_zinbl","gaussian","zinbl",NA,NA,NA,NA,NA
"42","sech_negbin","sech","negbin",NA,NA,NA,454078.832113819,NA,"sech_negbin","sech","negbin",NA,NA,NA,454078.832113819,NA,"sech_negbin","sech","negbin",NA,NA,NA,454078.832113819,NA,"sech_negbin","sech","negbin",NA,NA,NA,454078.832113819,NA
"2","beta_negbin","beta","negbin",NA,NA,NA,NA,NA,"beta_negbin","beta","negbin",NA,NA,NA,NA,NA,"beta_negbin","beta","negbin",NA,NA,NA,NA,NA,"beta_negbin","beta","negbin",NA,NA,NA,NA,NA
"28","mixgaussian_zinb","mixgaussian","zinb",18.2668151328876,0.0148514844970234,NA,NA,NA,"mixgaussian_zinb","mixgaussian","zinb",18.2668151328876,0.0148514844970234,NA,NA,NA,"mixgaussian_zinb","mixgaussian","zinb",18.2668151328876,0.0148514844970234,NA,NA,NA,"mixgaussian_zinb","mixgaussian","zinb",18.2668151328876,0.0148514844970234,NA,NA,NA
"34","modskurt_negbin","modskurt","negbin",NA,NA,0.000424628484401984,0.179596757285261,4.39887838758499e-05,"modskurt_negbin","modskurt","negbin",NA,NA,0.000424628484401984,0.179596757285261,4.39887838758499e-05,"modskurt_negbin","modskurt","negbin",NA,NA,0.000424628484401984,0.179596757285261,4.39887838758499e-05,"modskurt_negbin","modskurt","negbin",NA,NA,0.000424628484401984,0.179596757285261,4.39887838758499e-05
"44","sech_zinb","sech","zinb",NA,NA,NA,0.179376672296029,NA,"sech_zinb","sech","zinb",NA,NA,NA,0.179376672296029,NA,"sech_zinb","sech","zinb",NA,NA,NA,0.179376672296029,NA,"sech_zinb","sech","zinb",NA,NA,NA,0.179376672296029,NA
"20","hofV_zinb","hofV","zinb",NA,NA,NA,NA,NA,"hofV_zinb","hofV","zinb",NA,NA,NA,NA,NA,"hofV_zinb","hofV","zinb",NA,NA,NA,NA,NA,"hofV_zinb","hofV","zinb",NA,NA,NA,NA,NA
"4","beta_zinb","beta","zinb",NA,NA,NA,NA,NA,"beta_zinb","beta","zinb",NA,NA,NA,NA,NA,"beta_zinb","beta","zinb",NA,NA,NA,NA,NA,"beta_zinb","beta","zinb",NA,NA,NA,NA,NA
"46","sech_zinbl","sech","zinbl",NA,NA,NA,0.179616323382234,NA,"sech_zinbl","sech","zinbl",NA,NA,NA,0.179616323382234,NA,"sech_zinbl","sech","zinbl",NA,NA,NA,0.179616323382234,NA,"sech_zinbl","sech","zinbl",NA,NA,NA,0.179616323382234,NA
"48","sech_zinbl.mu","sech","zinbl.mu",NA,NA,NA,0.179440417069887,NA,"sech_zinbl.mu","sech","zinbl.mu",NA,NA,NA,0.179440417069887,NA,"sech_zinbl.mu","sech","zinbl.mu",NA,NA,NA,0.179440417069887,NA,"sech_zinbl.mu","sech","zinbl.mu",NA,NA,NA,0.179440417069887,NA
"22","hofV_zinbl","hofV","zinbl",NA,NA,NA,NA,NA,"hofV_zinbl","hofV","zinbl",NA,NA,NA,NA,NA,"hofV_zinbl","hofV","zinbl",NA,NA,NA,NA,NA,"hofV_zinbl","hofV","zinbl",NA,NA,NA,NA,NA
"8","beta_zinbl.mu","beta","zinbl.mu",NA,NA,NA,NA,NA,"beta_zinbl.mu","beta","zinbl.mu",NA,NA,NA,NA,NA,"beta_zinbl.mu","beta","zinbl.mu",NA,NA,NA,NA,NA,"beta_zinbl.mu","beta","zinbl.mu",NA,NA,NA,NA,NA
"6","beta_zinbl","beta","zinbl",NA,NA,NA,NA,NA,"beta_zinbl","beta","zinbl",NA,NA,NA,NA,NA,"beta_zinbl","beta","zinbl",NA,NA,NA,NA,NA,"beta_zinbl","beta","zinbl",NA,NA,NA,NA,NA
"24","hofV_zinbl.mu","hofV","zinbl.mu",NA,NA,NA,NA,NA,"hofV_zinbl.mu","hofV","zinbl.mu",NA,NA,NA,NA,NA,"hofV_zinbl.mu","hofV","zinbl.mu",NA,NA,NA,NA,NA,"hofV_zinbl.mu","hofV","zinbl.mu",NA,NA,NA,NA,NA
"36","modskurt_zinb","modskurt","zinb",NA,NA,0.173412181625723,0.00166594452535097,2.38998242144286,"modskurt_zinb","modskurt","zinb",NA,NA,0.173412181625723,0.00166594452535097,2.38998242144286,"modskurt_zinb","modskurt","zinb",NA,NA,0.173412181625723,0.00166594452535097,2.38998242144286,"modskurt_zinb","modskurt","zinb",NA,NA,0.173412181625723,0.00166594452535097,2.38998242144286
"26","mixgaussian_negbin","mixgaussian","negbin",0.225007653997822,347720.697409017,NA,NA,NA,"mixgaussian_negbin","mixgaussian","negbin",0.225007653997822,347720.697409017,NA,NA,NA,"mixgaussian_negbin","mixgaussian","negbin",0.225007653997822,347720.697409017,NA,NA,NA,"mixgaussian_negbin","mixgaussian","negbin",0.225007653997822,347720.697409017,NA,NA,NA
"30","mixgaussian_zinbl","mixgaussian","zinbl",23.6750767762978,0.147374752669471,NA,NA,NA,"mixgaussian_zinbl","mixgaussian","zinbl",23.6750767762978,0.147374752669471,NA,NA,NA,"mixgaussian_zinbl","mixgaussian","zinbl",23.6750767762978,0.147374752669471,NA,NA,NA,"mixgaussian_zinbl","mixgaussian","zinbl",23.6750767762978,0.147374752669471,NA,NA,NA
"40","modskurt_zinbl.mu","modskurt","zinbl.mu",NA,NA,0.959677590171051,0.179777507649113,1.17486192879956,"modskurt_zinbl.mu","modskurt","zinbl.mu",NA,NA,0.959677590171051,0.179777507649113,1.17486192879956,"modskurt_zinbl.mu","modskurt","zinbl.mu",NA,NA,0.959677590171051,0.179777507649113,1.17486192879956,"modskurt_zinbl.mu","modskurt","zinbl.mu",NA,NA,0.959677590171051,0.179777507649113,1.17486192879956
"32","mixgaussian_zinbl.mu","mixgaussian","zinbl.mu",24.1865657908332,0.0144693791045243,NA,NA,NA,"mixgaussian_zinbl.mu","mixgaussian","zinbl.mu",24.1865657908332,0.0144693791045243,NA,NA,NA,"mixgaussian_zinbl.mu","mixgaussian","zinbl.mu",24.1865657908332,0.0144693791045243,NA,NA,NA,"mixgaussian_zinbl.mu","mixgaussian","zinbl.mu",24.1865657908332,0.0144693791045243,NA,NA,NA
"38","modskurt_zinbl","modskurt","zinbl",NA,NA,0.771155446822037,0.102529393397339,3.48769262997025,"modskurt_zinbl","modskurt","zinbl",NA,NA,0.771155446822037,0.102529393397339,3.48769262997025,"modskurt_zinbl","modskurt","zinbl",NA,NA,0.771155446822037,0.102529393397339,3.48769262997025,"modskurt_zinbl","modskurt","zinbl",NA,NA,0.771155446822037,0.102529393397339,3.48769262997025
"41","sech_poisson","sech","poisson",NA,NA,NA,0.231979304095917,NA,"sech_poisson","sech","poisson",NA,NA,NA,0.231979304095917,NA,"sech_poisson","sech","poisson",NA,NA,NA,0.231979304095917,NA,"sech_poisson","sech","poisson",NA,NA,NA,0.231979304095917,NA
"33","modskurt_poisson","modskurt","poisson",NA,NA,0.000390724802374378,0.231977526396147,1.32258040306077,"modskurt_poisson","modskurt","poisson",NA,NA,0.000390724802374378,0.231977526396147,1.32258040306077,"modskurt_poisson","modskurt","poisson",NA,NA,0.000390724802374378,0.231977526396147,1.32258040306077,"modskurt_poisson","modskurt","poisson",NA,NA,0.000390724802374378,0.231977526396147,1.32258040306077
"17","hofV_poisson","hofV","poisson",NA,NA,NA,NA,NA,"hofV_poisson","hofV","poisson",NA,NA,NA,NA,NA,"hofV_poisson","hofV","poisson",NA,NA,NA,NA,NA,"hofV_poisson","hofV","poisson",NA,NA,NA,NA,NA
"9","gaussian_poisson","gaussian","poisson",NA,NA,NA,NA,NA,"gaussian_poisson","gaussian","poisson",NA,NA,NA,NA,NA,"gaussian_poisson","gaussian","poisson",NA,NA,NA,NA,NA,"gaussian_poisson","gaussian","poisson",NA,NA,NA,NA,NA
"35","modskurt_zip","modskurt","zip",NA,NA,0.987640268926902,0.231976237364294,1.40771214397147,"modskurt_zip","modskurt","zip",NA,NA,0.987640268926902,0.231976237364294,1.40771214397147,"modskurt_zip","modskurt","zip",NA,NA,0.987640268926902,0.231976237364294,1.40771214397147,"modskurt_zip","modskurt","zip",NA,NA,0.987640268926902,0.231976237364294,1.40771214397147
"47","sech_zipl.mu","sech","zipl.mu",NA,NA,NA,0.231904794393402,NA,"sech_zipl.mu","sech","zipl.mu",NA,NA,NA,0.231904794393402,NA,"sech_zipl.mu","sech","zipl.mu",NA,NA,NA,0.231904794393402,NA,"sech_zipl.mu","sech","zipl.mu",NA,NA,NA,0.231904794393402,NA
"19","hofV_zip","hofV","zip",NA,NA,NA,NA,NA,"hofV_zip","hofV","zip",NA,NA,NA,NA,NA,"hofV_zip","hofV","zip",NA,NA,NA,NA,NA,"hofV_zip","hofV","zip",NA,NA,NA,NA,NA
"11","gaussian_zip","gaussian","zip",NA,NA,NA,NA,NA,"gaussian_zip","gaussian","zip",NA,NA,NA,NA,NA,"gaussian_zip","gaussian","zip",NA,NA,NA,NA,NA,"gaussian_zip","gaussian","zip",NA,NA,NA,NA,NA
"45","sech_zipl","sech","zipl",NA,NA,NA,0.203377485306792,NA,"sech_zipl","sech","zipl",NA,NA,NA,0.203377485306792,NA,"sech_zipl","sech","zipl",NA,NA,NA,0.203377485306792,NA,"sech_zipl","sech","zipl",NA,NA,NA,0.203377485306792,NA
"15","gaussian_zipl.mu","gaussian","zipl.mu",NA,NA,NA,NA,NA,"gaussian_zipl.mu","gaussian","zipl.mu",NA,NA,NA,NA,NA,"gaussian_zipl.mu","gaussian","zipl.mu",NA,NA,NA,NA,NA,"gaussian_zipl.mu","gaussian","zipl.mu",NA,NA,NA,NA,NA
"13","gaussian_zipl","gaussian","zipl",NA,NA,NA,NA,NA,"gaussian_zipl","gaussian","zipl",NA,NA,NA,NA,NA,"gaussian_zipl","gaussian","zipl",NA,NA,NA,NA,NA,"gaussian_zipl","gaussian","zipl",NA,NA,NA,NA,NA
"39","modskurt_zipl.mu","modskurt","zipl.mu",NA,NA,1.16216354160996e-07,0.231978273578017,0.00852743323277378,"modskurt_zipl.mu","modskurt","zipl.mu",NA,NA,1.16216354160996e-07,0.231978273578017,0.00852743323277378,"modskurt_zipl.mu","modskurt","zipl.mu",NA,NA,1.16216354160996e-07,0.231978273578017,0.00852743323277378,"modskurt_zipl.mu","modskurt","zipl.mu",NA,NA,1.16216354160996e-07,0.231978273578017,0.00852743323277378
"37","modskurt_zipl","modskurt","zipl",NA,NA,0.60626546741846,0.231978846816529,2.18961066624261,"modskurt_zipl","modskurt","zipl",NA,NA,0.60626546741846,0.231978846816529,2.18961066624261,"modskurt_zipl","modskurt","zipl",NA,NA,0.60626546741846,0.231978846816529,2.18961066624261,"modskurt_zipl","modskurt","zipl",NA,NA,0.60626546741846,0.231978846816529,2.18961066624261
"21","hofV_zipl","hofV","zipl",NA,NA,NA,NA,NA,"hofV_zipl","hofV","zipl",NA,NA,NA,NA,NA,"hofV_zipl","hofV","zipl",NA,NA,NA,NA,NA,"hofV_zipl","hofV","zipl",NA,NA,NA,NA,NA
"23","hofV_zipl.mu","hofV","zipl.mu",NA,NA,NA,NA,NA,"hofV_zipl.mu","hofV","zipl.mu",NA,NA,NA,NA,NA,"hofV_zipl.mu","hofV","zipl.mu",NA,NA,NA,NA,NA,"hofV_zipl.mu","hofV","zipl.mu",NA,NA,NA,NA,NA
"3","beta_zip","beta","zip",NA,NA,NA,NA,NA,"beta_zip","beta","zip",NA,NA,NA,NA,NA,"beta_zip","beta","zip",NA,NA,NA,NA,NA,"beta_zip","beta","zip",NA,NA,NA,NA,NA
"25","mixgaussian_poisson","mixgaussian","poisson",23.9532844365143,559.792612392986,NA,NA,NA,"mixgaussian_poisson","mixgaussian","poisson",23.9532844365143,559.792612392986,NA,NA,NA,"mixgaussian_poisson","mixgaussian","poisson",23.9532844365143,559.792612392986,NA,NA,NA,"mixgaussian_poisson","mixgaussian","poisson",23.9532844365143,559.792612392986,NA,NA,NA
"43","sech_zip","sech","zip",NA,NA,NA,205.20354843069,NA,"sech_zip","sech","zip",NA,NA,NA,205.20354843069,NA,"sech_zip","sech","zip",NA,NA,NA,205.20354843069,NA,"sech_zip","sech","zip",NA,NA,NA,205.20354843069,NA
"27","mixgaussian_zip","mixgaussian","zip",26.4018905900188,8.30926158043679,NA,NA,NA,"mixgaussian_zip","mixgaussian","zip",26.4018905900188,8.30926158043679,NA,NA,NA,"mixgaussian_zip","mixgaussian","zip",26.4018905900188,8.30926158043679,NA,NA,NA,"mixgaussian_zip","mixgaussian","zip",26.4018905900188,8.30926158043679,NA,NA,NA
"1","beta_poisson","beta","poisson",NA,NA,NA,NA,NA,"beta_poisson","beta","poisson",NA,NA,NA,NA,NA,"beta_poisson","beta","poisson",NA,NA,NA,NA,NA,"beta_poisson","beta","poisson",NA,NA,NA,NA,NA
"31","mixgaussian_zipl.mu","mixgaussian","zipl.mu",23.9533305016141,2601.55546990557,NA,NA,NA,"mixgaussian_zipl.mu","mixgaussian","zipl.mu",23.9533305016141,2601.55546990557,NA,NA,NA,"mixgaussian_zipl.mu","mixgaussian","zipl.mu",23.9533305016141,2601.55546990557,NA,NA,NA,"mixgaussian_zipl.mu","mixgaussian","zipl.mu",23.9533305016141,2601.55546990557,NA,NA,NA
"29","mixgaussian_zipl","mixgaussian","zipl",23.3402340402048,75.9978736244577,NA,NA,NA,"mixgaussian_zipl","mixgaussian","zipl",23.3402340402048,75.9978736244577,NA,NA,NA,"mixgaussian_zipl","mixgaussian","zipl",23.3402340402048,75.9978736244577,NA,NA,NA,"mixgaussian_zipl","mixgaussian","zipl",23.3402340402048,75.9978736244577,NA,NA,NA
"7","beta_zipl.mu","beta","zipl.mu",NA,NA,NA,NA,NA,"beta_zipl.mu","beta","zipl.mu",NA,NA,NA,NA,NA,"beta_zipl.mu","beta","zipl.mu",NA,NA,NA,NA,NA,"beta_zipl.mu","beta","zipl.mu",NA,NA,NA,NA,NA
"5","beta_zipl","beta","zipl",NA,NA,NA,NA,NA,"beta_zipl","beta","zipl",NA,NA,NA,NA,NA,"beta_zipl","beta","zipl",NA,NA,NA,NA,NA,"beta_zipl","beta","zipl",NA,NA,NA,NA,NA
