campaign,OpCode,depth,lat_y,lon_x,Type1 (category),subtype (%),,photo,Visibility,,,Chunk ,substrate,precent_cover
Chaikin_phd_Red,isrnort230220A,13.7,29.544383,34.964333,,,,התקייה ריקה חוץ מקובץ readme,,,,1,NA,
Chaikin_phd_Red,isrnort230220B,28.2,29.543083,34.96355,,,,V,good,,,1,sea_grass,2
Chaikin_phd_Red,isrnort230220C,15.2,29.544383,34.964333,,,,V,good,,,1,sea_grass,3
Chaikin_phd_Red,isrnort230220D,47.8,29.540413,34.96189,,,,V,good,,,1,sand,3
Chaikin_phd_Red,isrnort230220E,72.4,29.535736,34.96004,,,,V,low,,,1,sand,3
Chaikin_phd_Red,isrnort230220F,91.8,29.533348,34.958805,,,,V,low,,,1,corals,1
Chaikin_phd_Red,isrwest240220A,10,29.50192,34.91827,,,,V,good,,,1,corals,1
Chaikin_phd_Red,isrwest240220B,20,29.49592,34.91016,,,,V,good,,,1,corals,1
Chaikin_phd_Red,isrwest240220C,40.4,29.49511,34.91321,,,,V,good,,,1,corals,2
Chaikin_phd_Red,isrwest240220D,60.9,29.49084,34.90939,,,,V,good,,,1,algae,2
Chaikin_phd_Red,isrwest240220E,76.6,29.49217,34.91415,,,,V,good,,,1,corals,1
Chaikin_phd_Red,isrwest240220F,103.7,29.49311,34.91629,,,,V,low,,,1,sand,3
Chaikin_phd_Red,isrnort130520A,16.4,29.54525,34.9649,,,,V,good,,,1,sea_grass,2
Chaikin_phd_Red,isrnort130520B,29.7,29.5435,34.9646,,,,V,good,,,1,sea_grass,1
Chaikin_phd_Red,isrnort130520C,47.5,29.539167,34.964033,,,,V,good,,,1,algae,1
Chaikin_phd_Red,isrnort130520D,69.4,29.537383,34.960617,,,,V,low,,,1,sand,3
Chaikin_phd_Red,isrnort130520E,83.3,29.534133,34.96015,,,,V,low,,,1,corals,1
Chaikin_phd_Red,isrnort130520F,115,29.534083,34.955683,,,,V,good,,,1,sand,3
Chaikin_phd_Red,isrnort130520G,54.6,29.540717,34.9585,,,,V,good,,,1,algae,1
Chaikin_phd_Red,isrwest140520A,10.7,29.506717,34.921067,,,,V,good,,,1,corals,1
Chaikin_phd_Red,isrwest140520B,26.8,29.50955,34.924433,,,,V,good,,,1,corals,3
Chaikin_phd_Red,isrwest140520C,53.8,29.5037,34.919817,,,,V,good,,,1,corals,1
Chaikin_phd_Red,isrwest140520D,68.9,29.50695,34.923683,,,,NA בתקייה,,,,1,NA,
Chaikin_phd_Red,isrwest140520E,83,29.500833,34.922017,,,,V,low,,,1,sand,3
Chaikin_phd_Red,isrwest140520F,105,29.4991,34.922267,,,,V,good,,,1,corals,1
Chaikin_phd_Red,isrnort010920A,123,29.534283,34.954783,,,,V,low,,,1,sand,3
Chaikin_phd_Red,isrnort010920B,106,29.533467,34.958767,,,,V,low,,,1,corals,2
Chaikin_phd_Red,isrnort010920C,80.6,29.5352,34.959617,,,,V,low,,,1,sand,3
Chaikin_phd_Red,isrnort010920D,62.2,29.536483,34.963933,,,,V,low,,,1,algae,3
Chaikin_phd_Red,isrnort010920E,43.6,29.539467,34.967567,,,,V,low,,,1,sand,3
Chaikin_phd_Red,isrnort010920F,31.2,29.5422,34.9673,,,,V,low,,,1,sea_grass,3
Chaikin_phd_Red,isrnort010920G,19.6,29.542883,34.97335,,,,V,low,,,1,sea_grass,1
Chaikin_phd_Red,isrwest020920A,135,29.5291,34.94395,,,,V,good,,,1,corals,1
Chaikin_phd_Red,isrwest020920B,117,29.532133,34.946217,,,,V,good,,,1,corals,1
Chaikin_phd_Red,isrwest020920C,86.2,29.534383,34.9482,,,,V,low,,,1,sand,3
Chaikin_phd_Red,isrwest020920D,70,29.536583,34.94875,,,,V,good,,,1,corals,2
Chaikin_phd_Red,isrwest020920E,56.7,29.538383,34.949417,,,,V,good,,,1,corals,1
Chaikin_phd_Red,isrwest020920F,37.5,29.536067,34.946767,,,,V,good,,,1,corals,3
Chaikin_phd_Red,isrwest020920G,10.5,29.537133,34.945933,,,,V,good,,,1,corals,1
Chaikin_phd_Red,isrnort231220A,138,29.5304,34.966033,,,,NA בתקייה,,,,2,NA,
Chaikin_phd_Red,isrnort231220B,123,29.53105,34.966033,,,,V,good,,,2,sand,3
Chaikin_phd_Red,isrnort231220C,142,29.530133,34.9652,,,,V,good,,,2,corals,1
Chaikin_phd_Red,isrnort231220D,107,29.531333,34.967117,,,,V,good,,,2,corals,2
Chaikin_phd_Red,isrnort231220E,71.9,29.533717,34.968417,,,,V,low,,,2,sand,3
Chaikin_phd_Red,isrnort231220F,50.8,29.53745,34.97085,,,,NA בתקייה,,,,2,NA,
Chaikin_phd_Red,isrnort231220G,31.7,29.541517,34.972517,,,,V,good,,,2,sea_grass,2
Chaikin_phd_Red,isrnort231220H,25.6,29.542183,34.973833,,,,NA בתקייה,,,,2,NA,
Chaikin_phd_Red,isrnort231220I,84.2,29.531767,34.968967,,,,V,low,,,2,sand,3
Chaikin_phd_Red,isrwest241220A,136,29.51215,34.9332,,,,V,good,,,2,corals,1
Chaikin_phd_Red,isrwest241220B,110.5,29.514217,34.93455,,,,V,good,,,2,corals,1
Chaikin_phd_Red,isrwest241220C,98,29.516933,34.935533,,,,V,low,,,2,corals,1
Chaikin_phd_Red,isrwest241220D,67.7,29.519583,34.935283,,,,V,low,,,2,algae,1
Chaikin_phd_Red,isrwest241220E,52.8,29.522133,34.936067,,,,V,good,,,2,corals,3
Chaikin_phd_Red,isrwest241220F,29.1,29.523133,34.935683,,,,V,good,,,2,corals,3
Chaikin_phd_Red,isrwest241220G,24.8,29.52525,34.937333,,,,V,good,,,2,corals,3
Chaikin_phd_Red,isrwest241220H,87.2,29.524667,34.94065,,,,V,low,,,2,sand,3
Chaikin_phd_Red,isrwest241220I,41.9,29.5244,34.938733,,,,V,good,,,2,corals,3
Chaikin_phd_Red,isrnort170321A,137.8,29.530867,34.960217,,,,V,low,,,3,sand,3
Chaikin_phd_Red,isrnort170321B,122.7,29.531583,34.961483,,,,V,low,,,3,corals,1
Chaikin_phd_Red,isrnort170321C,89.6,29.533283,34.962933,,,,V,good,,,3,sand,3
Chaikin_phd_Red,isrnort170321D,66.4,29.536017,34.96485,,,,NA בתקייה,,,,3,NA,
Chaikin_phd_Red,isrnort170321E,45.7,29.53925,34.966833,,,,V,good,,,3,sand,3
Chaikin_phd_Red,isrnort170321F,25.1,29.54315,34.9699,,,,V,good,,,3,sea_grass,2
Chaikin_phd_Red,isrnort170321G,15.5,29.544733,34.96715,,,,V,good,,,3,sea_grass,2
Chaikin_phd_Red,isrnort170321H,112,29.533083,34.95935,,,,V,good,,,3,sand,3
Chaikin_phd_Red,isrwest180321A,137,29.4975,34.9224,,,,V,good,,,3,corals,1
Chaikin_phd_Red,isrwest180321B,118.2,29.4959,34.9201,,,,V,low,,,3,corals,2
Chaikin_phd_Red,isrwest180321C,92.3,29.498733,34.921,,,,V,low,,,3,corals,1
Chaikin_phd_Red,isrwest180321D,70.6,29.498433,34.917233,,,,V,good,,,3,algae,1
Chaikin_phd_Red,isrwest180321E,53.3,29.50145,34.918917,,,,V,good,,,3,corals,3
Chaikin_phd_Red,isrwest180321F,34.3,29.49875,34.9153,,,,V,,,,3,corals,3
Chaikin_phd_Red,isrwest180321G,140,29.4986,34.923633,,,,V,low,,,3,sand,3
Chaikin_phd_Red,isrwest180321H,8.1,29.501602,34.917697,,,,V,good,,,3,corals,1
Chaikin_phd_Red,isrnort120721A,137,29.531067,34.96095,,,,V,good,,,3,sand,3
Chaikin_phd_Red,isrnort120721B,128,29.531867,34.96285,,,,V,good,,,3,corals,3
Chaikin_phd_Red,isrnort120721C,110,29.531867,34.963733,,,,V,good,,,3,corals,3
Chaikin_phd_Red,isrnort120721D,81.4,29.533483,34.965183,,,,V,good,,,3,corals,1
Chaikin_phd_Red,isrnort120721E,60.1,29.536,34.966883,,,,V,good,,,3,corals,1
Chaikin_phd_Red,isrnort120721F,38.9,29.5405,34.969867,,,,V,low,,,3,sand,3
Chaikin_phd_Red,isrnort120721G,17.3,29.544267,34.968483,,,,V,good,,,3,sea_grass,3
Chaikin_phd_Red,isrnort120721H,27.9,29.5427,34.96865,,,,V,good,,,3,sea_grass,3
Chaikin_phd_Red,isrnort120721I,16.5,29.54435,34.969,,,,V,low,,,3,sand,3
Chaikin_phd_Red,isrwest130721A,144,29.5063,34.929317,,,,V,good,,,3,corals,2
Chaikin_phd_Red,isrwest130721B,128,29.50905,34.931017,,,,V,good,,,3,corals,1
Chaikin_phd_Red,isrwest130721C,98.5,29.51035,34.931367,,,,NA בתקייה,,,,3,NA,
Chaikin_phd_Red,isrwest130721D,76.9,29.5087,34.927367,,,,V,good,,,3,sand,3
Chaikin_phd_Red,isrwest130721E,94.4,29.51095,34.931467,,,,V,good,,,3,corals,2
Chaikin_phd_Red,isrwest130721F,50.6,29.51405,34.929733,,,,V,good,,,3,corals,3
Chaikin_phd_Red,isrwest130721G,36,29.51005,34.924767,,,,V,good,,,3,corals,2
Chaikin_phd_Red,isrwest130721H,10.5,29.506497,34.921029,,,,V,good,,,3,corals,2
Chaikin_phd_Red,isrwest130721I,21.4,29.507567,34.922367,,,,V,good,,,3,corals,3
Chaikin_phd_Red,isrnort131021A,141,29.533267,34.950167,,,,V,good,,,4,sand,1
Chaikin_phd_Red,isrnort131021B,119.9,29.534217,34.954433,,,,V,good,,,4,corals,3
Chaikin_phd_Red,isrnort131021C,92.1,29.536117,34.953567,,,,V,low,,,4,sand,3
Chaikin_phd_Red,isrnort131021D,72.6,29.538867,34.954433,,,,V,low,,,4,sand,3
Chaikin_phd_Red,isrnort131021E,57,29.5409,34.956667,,,,V,good,,,4,sand,3
Chaikin_phd_Red,isrnort131021F,34,29.5449,34.959883,,,,V,low,,,4,sand,3
Chaikin_phd_Red,isrnort131021G,125,29.533517,34.956683,,,,V,good,,,4,corals,1
Chaikin_phd_Red,isrnort131021H,16.4,29.546517,34.962033,,,,V,low,,,4,sand,3
Chaikin_phd_Red,isrwest141021A,10.3,29.50565,34.920017,,,,V,good,,,4,corals,2
Chaikin_phd_Red,isrwest141021B,32.8,29.506817,34.922017,,,,NA בתקייה,,,,4,NA,
Chaikin_phd_Red,isrwest141021C,145.3,29.5042,34.927517,,,,V,good,,,4,sand,3
Chaikin_phd_Red,isrwest141021D,54.6,29.5075,34.923167,,,,V,good,,,4,corals,1
Chaikin_phd_Red,isrwest141021E,121.4,29.503667,34.926483,,,,V,good,,,4,corals,1
Chaikin_phd_Red,isrwest141021F,71.8,29.505467,34.9229,,,,V,good,,,4,algae,2
Chaikin_phd_Red,isrwest141021G,91,29.5061,34.92705,,,,V,good,,,4,sand,3
Chaikin_phd_Red,isrwest141021H,67.5,29.507717,34.92395,,,,V,good,,,4,algae,3
Chaikin_phd_Red,isrwest141021I,45.5,29.50725,34.922633,,,,V,good,,,4,corals,2
Chaikin_phd_Red,isrwest260122A,140,29.502833,34.926299,,,,V,good,,,4,sand,3
Chaikin_phd_Red,isrwest260122B,114,29.495409,34.919699,,,,V,good,,,4,corals,1
Chaikin_phd_Red,isrwest260122C,149,29.492337,34.916886,,,,V,good,,,4,corals,1
Chaikin_phd_Red,isrwest260122D,92,29.491262,34.913954,,,,V,good,,,4,corals,2
Chaikin_phd_Red,isrwest260122E,71,29.497683,34.9172,,,,V,good,,,4,algae,2
Chaikin_phd_Red,isrwest260122F,48.4,29.495017,34.912483,,,,V,good,,,4,corals,3
Chaikin_phd_Red,isrwest260122G,34.4,29.498272,34.914748,,,,כמעט אין קרקעית,low,,,4,corals,3
Chaikin_phd_Red,isrwest260122H,16.8,29.495314,34.908531,,,,V,good,,,4,NA,
Chaikin_phd_Red,isrwest260122I,20.1,29.494041,34.907006,,,,V,good,,,4,corals,1
Chaikin_phd_Red,isrwest260122J,40.9,29.493163,34.910249,,,,V,good,,,4,corals,3
Chaikin_phd_Red,isrnort270122A,135,29.532963,34.952824,,,,V,good,,,4,sand,3
Chaikin_phd_Red,isrnort270122B,123,29.53224,34.95823,,,,V,good,,,4,corals,1
Chaikin_phd_Red,isrnort270122C,135,29.530563,34.96271,,,,V,good,,,4,sand,3
Chaikin_phd_Red,isrnort270122D,87.2,29.535656,34.954906,,,,,low,,,4,sand,3
Chaikin_phd_Red,isrnort270122E,72.5,29.536814,34.958298,,,,V,good,,,4,corals,1
Chaikin_phd_Red,isrnort270122F,50,29.541029,34.955708,,,,,low,,,4,sand,3
Chaikin_phd_Red,isrnort270122G,68.4,29.53498,34.96197,,,,NA בתקייה,,,,4,NA,
Chaikin_phd_Red,isrnort270122H,40.6,29.542603,34.95998,,,,,low,,,4,sand,3
Chaikin_phd_Red,isrnort270122I,32.3,29.54403,34.96076,,,,V,good,,,4,sea_grass,3
Chaikin_phd_Red,isrnort270122J,22.1,29.546385,34.957428,,,,V,good,,,4,sand,3
