Name,Site,Depth,Habitat,Orientation,Coral,Sponge,Other,Algae,Substrate
IMG_6816qua.10m.7.jpg,Oil Jetty,10,Shallow,HOR,40,1,0,2,57
IMG_6822qua.10m.8.jpg,Oil Jetty,10,Shallow,VER,20,2,1,3,74
IMG_6828qua.10m.9.jpg,Oil Jetty,10,Shallow,HOR,65,0,3,5,27
IMG_6833qua.10m.10.jpg,Oil Jetty,10,Shallow,HOR,32,0,2,1,65
IMG_6839qua.10m.11.jpg,Oil Jetty,10,Shallow,HOR,38,0,0,5,57
IMG_6844qua.10m.12.jpg,Oil Jetty,10,Shallow,HOR,25,2,1,3,69
IMG_6849qua.10m.13.jpg,Oil Jetty,10,Shallow,VER,20,0,2,24,54
IMG_6855qua.10m14.jpg,Oil Jetty,10,Shallow,VER,6,0,1,10,83
IMG_6861qua.10m.15.jpg,Oil Jetty,10,Shallow,VER,16,0,2,7,75
IMG_6869.10m.qua16.jpg,Oil Jetty,10,Shallow,VER,5,0,2,8,85
IMG_6873qua.10m.17.jpg,Oil Jetty,10,Shallow,VER,15,0,2,30,53
IMG_6878qua.10m.21.jpg,Oil Jetty,10,Shallow,VER,0,0,2,2,96
IMG_6890qua.10m.19.jpg,Oil Jetty,10,Shallow,VER,39,0,2,16,43
IMG_6894qua.10m.20.jpg,Oil Jetty,10,Shallow,VER,28,1,2,23,46
IMG_6899qua.10m.22.jpg,Oil Jetty,10,Shallow,HOR,14,2,1,12,71
IMG_6904qua.10m.23.jpg,Oil Jetty,10,Shallow,HOR,2,0,0,1,97
IMG_6907qua.10m.24.jpg,Oil Jetty,10,Shallow,HOR,15,2,3,7,73
IMG_6912qua.10m.25.jpg,Oil Jetty,10,Shallow,VER,30,0,4,19,47
IMG_6918qua.10m.26.jpg,Oil Jetty,10,Shallow,HOR,37,13,1,3,46
IMG_6924qua.10m.27.jpg,Oil Jetty,10,Shallow,MID,27,0,1,9,63
IMG_6932qua.10m.28.jpg,Oil Jetty,10,Shallow,VER,18,2,1,12,67
IMG_6936qua.10m.29.jpg,Oil Jetty,10,Shallow,VER,1,0,0,28,71
IMG_6939qua.10m.30.jpg,Oil Jetty,10,Shallow,VER,7,0,3,39,51
IMG_6943qua10m.31.jpg,Oil Jetty,10,Shallow,HOR,84,0,0,1,15
IMG_6945qua.10m.32.jpg,Oil Jetty,10,Shallow,HOR,24,0,0,6,70
IMG_6949.qua.10m.33.jpg,Oil Jetty,10,Shallow,HOR,21,3,4,7,65
IMG_6956.qua.10m.34.jpg,Oil Jetty,10,Shallow,VER,17,1,0,5,77
IMG_6959.10m.qua35.jpg,Oil Jetty,10,Shallow,VER,25,0,4,15,56
00971 074qua_50.2.jpg,IUI,50,Mesophotic,VER,1,0,14,85,0
00972 090qua_50.7.jpg,IUI,50,Mesophotic,MID,40,0,3,35,22
00972 184qua_50.11.jpg,IUI,50,Mesophotic,MID,12,0,3,54,31
00973 138qua_50.16.jpg,IUI,50,Mesophotic,VER,6,8,6,72,8
00973 234qua_50.17.jpg,IUI,50,Mesophotic,MID,7,26,10,36,21
00973 311qua_50.18.jpg,IUI,50,Mesophotic,VER,7,2,4,57,30
00974 065 qua_50.21.jpg,IUI,50,Mesophotic,VER,3,0,16,46,35
00974 242qua_50.24.jpg,IUI,50,Mesophotic,MID,37,0,7,49,7
00974 282 qua_50.25.jpg,IUI,50,Mesophotic,VER,37,3,9,42,9
00974 378qua_50.26.jpg,IUI,50,Mesophotic,HOR,30,0,6,40,24
00975 096qua_50.27.jpg,IUI,50,Mesophotic,MID,14,0,13,37,36
213 0426qua_60.1.jpg,IUI,60,Mesophotic,MID,8,2,15,49,26
214 354qua_60.22.jpg,IUI,60,Mesophotic,HOR,5,0,15,74,6
214 409qua_60.24.jpg,IUI,60,Mesophotic,HOR,13,1,11,50,25
214 419qua_60.25.jpg,IUI,60,Mesophotic,MID,9,6,15,41,29
214 428qua_60.26.jpg,IUI,60,Mesophotic,MID,14,5,11,37,33
214 485qua_60.27.jpg,IUI,60,Mesophotic,HOR,7,11,32,38,12
214 568qua_60.29.jpg,IUI,60,Mesophotic,MID,20,0,3,44,33
214 588qua_60.31.jpg,IUI,60,Mesophotic,MID,35,0,15,33,17
214 631 qua_60.32.jpg,IUI,60,Mesophotic,MID,32,2,15,47,4
215 290_60.45.jpg,IUI,60,Mesophotic,MID,15,0,8,41,36
217 248qua_60.53.jpg,IUI,60,Mesophotic,MID,26,2,11,46,15
217 321qua_60.54.jpg,IUI,60,Mesophotic,HOR,22,1,5,54,18
217 342qua_60.55.jpg,IUI,60,Mesophotic,HOR,11,7,3,63,16
217 357qua_60.56.jpg,IUI,60,Mesophotic,MID,13,1,0,54,32
217 431qua_60.57.jpg,IUI,60,Mesophotic,HOR,12,0,2,72,14
217 443qua_60.58.jpg,IUI,60,Mesophotic,HOR,26,2,9,44,19
217 483qua_60.59.jpg,IUI,60,Mesophotic,VER,4,2,9,81,4
217 525qua_60.61.jpg,IUI,60,Mesophotic,VER,1,1,23,63,12
217 621qua_60.64.jpg,IUI,60,Mesophotic,MID,12,1,17,53,17
218 028qua_60.66.jpg,IUI,60,Mesophotic,MID,26,1,13,51,9
218 059qua_60.67.jpg,IUI,60,Mesophotic,VER,24,1,13,41,21
218 111qua_60.68.jpg,IUI,60,Mesophotic,VER,15,1,15,65,4
218 145qua_60.69.jpg,IUI,60,Mesophotic,VER,20,5,12,52,11
218 222qua_50.1.jpg,IUI,50,Mesophotic,VER,7,1,2,57,33
218 408qua_50.4.jpg,IUI,50,Mesophotic,MID,9,0,13,65,13
218 509qua_50.5.jpg,IUI,50,Mesophotic,MID,71,0,1,11,17
218 597qua_50.8.jpg,IUI,50,Mesophotic,MID,50,0,8,16,26
218 615qua_50.9.jpg,IUI,50,Mesophotic,MID,22,0,3,36,39
218 627qua_50.10.jpg,IUI,50,Mesophotic,VER,30,8,19,26,17
219 121qua_50.13.jpg,IUI,50,Mesophotic,MID,8,4,10,51,27
219 146qua_50.14.jpg,IUI,50,Mesophotic,VER,29,1,11,22,37
219 169qua_50.15.jpg,IUI,50,Mesophotic,VER,18,3,13,52,14
219 381_50.19.jpg,IUI,50,Mesophotic,VER,19,5,10,50,16
219 414qua_50.20.jpg,IUI,50,Mesophotic,VER,7,5,22,39,27
219 488qua_50.22.jpg,IUI,50,Mesophotic,MID,31,5,12,31,21
bscap0001qua_60.8.jpg,IUI,60,Mesophotic,MID,32,0,19,26,23
bscap0004qua_60.10.jpg,IUI,60,Mesophotic,MID,16,8,22,22,32
bscap0008-1qua_60.11.jpg,IUI,60,Mesophotic,MID,27,2,3,32,36
bscap0014qua_60.12.jpg,IUI,60,Mesophotic,MID,18,4,36,27,15
IMG_1550qua_10.15.JPG,IUI,10,Shallow,HOR,1,0,2,8,89
IMG_1568qua_10.18.JPG,IUI,10,Shallow,MID,20,2,0,4,74
IMG_1590qua_10.20.jpg,IUI,10,Shallow,MID,18,0,4,3,75
IMG_1598qua_10.21.jpg,IUI,10,Shallow,VER,9,0,9,7,75
IMG_1610qua_10.22.jpg,IUI,10,Shallow,HOR,19,0,2,0,79
IMG_1616qua_10.23.JPG,IUI,10,Shallow,HOR,3,0,0,9,88
IMG_1627qua_10.24.JPG,IUI,10,Shallow,VER,15,2,0,5,78
IMG_1643qua_10.25.jpg,IUI,10,Shallow,VER,27,0,5,4,64
IMG_1656qua_10.26.JPG,IUI,10,Shallow,HOR,10,0,3,12,75
IMG_1663qua_10.27.jpg,IUI,10,Shallow,HOR,4,0,0,2,94
IMG_1667qua_10.28.jpg,IUI,10,Shallow,VER,13,0,4,10,73
IMG_1684qua_10.30.jpg,IUI,10,Shallow,HOR,5,0,0,10,85
IMG_1694qua_10.31.JPG,IUI,10,Shallow,MID,4,2,0,4,90
IMG_1702qua_10.32.JPG,IUI,10,Shallow,HOR,17,0,0,10,73
IMG_1709qua_10.33.JPG,IUI,10,Shallow,HOR,9,0,0,5,86
IMG_1717qua_10.34.JPG,IUI,10,Shallow,VER,12,0,4,4,80
IMG_1743qua_5.1.jpg,IUI,5,Shallow,HOR,32,0,0,3,65
IMG_1760 qua_5.2.JPG,IUI,5,Shallow,HOR,11,0,1,6,82
IMG_1794 qua_5.6.JPG,IUI,5,Shallow,HOR,20,0,5,14,61
IMG_1811qua_5.8.JPG,IUI,5,Shallow,HOR,4,0,1,3,92
IMG_1826 qua_5.10.JPG,IUI,5,Shallow,HOR,9,0,4,12,75
IMG_1877qua_5.16.JPG,IUI,5,Shallow,VER,10,0,26,11,53
IMG_2475qua_20.1.jpg,IUI,20,Shallow,HOR,25,2,4,9,60
IMG_2484_20.2.JPG,IUI,20,Shallow,HOR,31,0,1,8,60
IMG_2494qua_20.3.JPG,IUI,20,Shallow,HOR,25,0,3,18,54
IMG_2505qua_20.4.jpg,IUI,20,Shallow,HOR,17,2,1,3,77
IMG_2515qua_20.5.JPG,IUI,20,Shallow,HOR,27,1,1,14,57
IMG_2523qua_20.6.jpg,IUI,20,Shallow,HOR,27,3,1,4,65
IMG_2532qua_20.7.jpg,IUI,20,Shallow,HOR,21,0,0,8,71
IMG_2542qua_20.8.JPG,IUI,20,Shallow,HOR,33,0,2,20,45
IMG_2549qua_20.9.jpg,IUI,20,Shallow,HOR,39,2,3,7,49
IMG_2562qua_20.11.JPG,IUI,20,Shallow,HOR,22,0,1,12,65
IMG_2567qua_20.13.jpg,IUI,20,Shallow,HOR,24,1,4,9,62
IMG_2582qua_20.14.jpg,IUI,20,Shallow,HOR,22,0,1,11,66
IMG_2590.qua_20.15.jpg,IUI,20,Shallow,MID,14,2,4,24,56
IMG_2600qua_20.16.jpg,IUI,20,Shallow,HOR,18,0,5,8,69
IMG_2615qua_20.17.JPG,IUI,20,Shallow,HOR,28,1,0,18,53
IMG_2625qua_20.18.jpg,IUI,20,Shallow,HOR,12,0,0,9,79
IMG_2638qua_20.19.JPG,IUI,20,Shallow,HOR,13,0,5,29,53
IMG_2656qua_20.20.jpg,IUI,20,Shallow,HOR,21,1,0,33,45
IMG_2682qua_5.29.jpg,IUI,5,Shallow,HOR,7,0,0,7,86
IMG_2690qua_5.30.JPG,IUI,5,Shallow,HOR,17,0,0,25,58
IMG_2694qua_5.31.jpg,IUI,5,Shallow,HOR,5,0,0,8,87
IMG_2703qua_5.32.jpg,IUI,5,Shallow,HOR,20,0,9,8,63
IMG_2711qua_5.34.jpg,IUI,5,Shallow,HOR,5,0,4,16,75
IMG_2719qua_5.35.JPG,IUI,5,Shallow,HOR,15,0,1,18,66
IMG_2725qua_5.36.JPG,IUI,5,Shallow,HOR,12,0,1,14,73
IMG_2739qua_5.39.jpg,IUI,5,Shallow,HOR,22,0,0,7,71
IMG_2744qua_5.40.JPG,IUI,5,Shallow,HOR,24,0,3,14,59
IMG_2750qua_5.41.jpg,IUI,5,Shallow,HOR,23,0,0,7,70
IMG_2754qua_5.42.jpg,IUI,5,Shallow,HOR,18,0,2,11,69
IMG_2773qua_5.43.jpg,IUI,5,Shallow,HOR,9,0,1,4,86
IMG_2779qua_5.44.JPG,IUI,5,Shallow,HOR,16,0,2,8,74
IMG_2786qua_5.45.jpg,IUI,5,Shallow,HOR,13,0,0,3,84
IMG_2792qua_5.46.JPG,IUI,5,Shallow,HOR,22,0,2,2,74
IMG_6220qua_10.35.jpg,IUI,10,Shallow,MID,33,0,6,11,50
IMG_6247qua_10.37.jpg,IUI,10,Shallow,HOR,5,0,0,2,93
IMG_6298qua_10.39.jpg,IUI,10,Shallow,HOR,10,3,0,1,86
IMG_6344qua_10.40.jpg,IUI,10,Shallow,HOR,31,0,0,1,68
IMG_6358qua_10.41.jpg,IUI,10,Shallow,VER,15,0,0,23,62
IMG_6366_10.42.JPG,IUI,10,Shallow,VER,20,1,2,8,69
IMG_6371 qua_5.19.jpg,IUI,5,Shallow,HOR,22,0,1,2,75
IMG_6381qua_5.20.jpg,IUI,5,Shallow,HOR,27,0,0,4,69
IMG_6388qua_5.21.jpg,IUI,5,Shallow,HOR,26,0,2,2,70
IMG_6403qua_5.22.jpg,IUI,5,Shallow,HOR,56,0,0,1,43
IMG_6411qua_5.23.jpg,IUI,5,Shallow,VER,26,0,5,20,49
IMG_6439qua_5.25.jpg,IUI,5,Shallow,VER,49,0,7,13,31
IMG_6447qua_5.26.jpg,IUI,5,Shallow,HOR,25,1,0,8,66
IMG_6457qua_5.27.jpg,IUI,5,Shallow,VER,32,1,2,9,56
IMG_6471qua_5.28.jpg,IUI,5,Shallow,VER,24,9,2,21,44
IMG_7169qua_20.21.jpg,IUI,20,Shallow,VER,52,0,0,7,41
IMG_7178qua_20.22.jpg,IUI,20,Shallow,HOR,11,19,0,2,68
IMG_7183qua_20.23.jpg,IUI,20,Shallow,HOR,49,1,1,7,42
IMG_7189qua_20.24.jpg,IUI,20,Shallow,HOR,14,0,2,3,81
IMG_7195qua_20.25.jpg,IUI,20,Shallow,HOR,45,0,0,3,52
IMG_7200qua_20.26.JPG,IUI,20,Shallow,VER,27,5,10,16,42
IMG_7213qua_20.27.JPG,IUI,20,Shallow,HOR,5,2,0,17,76
IMG_7217qua_20.30.jpg,IUI,20,Shallow,HOR,43,0,0,10,47
IMG_7221qua_20.31.JPG,IUI,20,Shallow,HOR,37,0,3,20,40
IMG_7224qua_20.32.jpg,IUI,20,Shallow,HOR,43,1,0,7,49
IMG_7228qua_20.33.JPG,IUI,20,Shallow,HOR,19,0,7,20,54
IMG_7233qua_20.34.jpg,IUI,20,Shallow,HOR,34,8,25,4,29
IMG_7239qua_20.35.JPG,IUI,20,Shallow,HOR,29,0,6,9,56
IMG_7242qua_20.36.jpg,IUI,20,Shallow,HOR,15,0,5,11,69
IMG_7245qua_20.37.jpg,IUI,20,Shallow,VER,29,1,5,15,50
IMG_7248qua_20.38.jpg,IUI,20,Shallow,MID,25,0,2,12,61
IMG_7259qua_20.39.jpg,IUI,20,Shallow,HOR,16,17,1,20,46
IMG_7275qua_20.40.JPG,IUI,20,Shallow,HOR,34,0,6,21,39
IMG_7360qua_5.47.jpg,IUI,5,Shallow,MID,16,0,4,6,74
IMG_7369qua_5.48.jpg,IUI,5,Shallow,VER,22,0,6,15,57
IMG_7374qua_5.49.JPG,IUI,5,Shallow,VER,34,0,1,20,45
IMG_7383qua_5.52.jpg,IUI,5,Shallow,HOR,7,0,2,1,90
IMG_7386qua_5.53.jpg,IUI,5,Shallow,HOR,19,0,0,2,79
IMG_7391qua_5.54.jpg,IUI,5,Shallow,HOR,8,1,1,9,81
IMG_7394qua_5.55.jpg,IUI,5,Shallow,HOR,12,0,0,9,79
qua_50.3.jpg,IUI,50,Mesophotic,MID,11,0,4,48,37
